filename,x,y,width,height
6,287.0,673.0,188.0,220.0
8,651.0,476.0,250.0,344.0
18,220.0,414.0,142.0,120.0
24,327.0,138.0,108.0,157.0
27,273.0,550.0,139.0,146.0
28,761.0,512.0,146.0,153.0
29,326.0,287.0,191.0,292.0
30,645.0,296.0,208.0,545.0
30,286.0,197.0,159.0,447.0
36,267.0,328.0,310.0,309.0
50,615.0,436.0,219.0,255.0
50,198.0,372.0,275.0,238.0
51,199.0,460.0,187.0,176.0
51,685.0,590.0,142.0,160.0
58,207.0,335.0,219.0,273.0
58,664.0,365.0,170.0,225.0
63,608.0,256.0,281.0,527.0
63,152.0,222.0,308.0,560.0
64,191.0,282.0,219.0,503.0
73,331.0,375.0,263.0,432.0
73,691.0,359.0,238.0,426.0
74,215.0,347.0,249.0,149.0
77,278.0,471.0,183.0,136.0
82,145.0,538.0,253.0,134.0
82,218.0,364.0,148.0,122.0
82,577.0,420.0,226.0,261.0
84,724.0,466.0,253.0,265.0
85,175.0,578.0,154.0,175.0
90,154.0,461.0,247.0,279.0
90,561.0,522.0,300.0,192.0
92,607.0,453.0,194.0,313.0
92,256.0,491.0,151.0,251.0
101,305.0,422.0,159.0,428.0
101,639.0,370.0,201.0,441.0
108,232.0,132.0,292.0,669.0
108,616.0,213.0,250.0,642.0
111,630.0,301.0,133.0,216.0
111,248.0,441.0,118.0,120.0
114,536.0,453.0,281.0,137.0
117,271.0,208.0,215.0,505.0
117,720.0,155.0,271.0,494.0
134,560.0,343.0,240.0,391.0
134,227.0,597.0,132.0,99.0
141,637.0,278.0,273.0,548.0
141,267.0,343.0,156.0,359.0
147,141.0,511.0,231.0,227.0
150,616.0,310.0,256.0,514.0
150,232.0,380.0,214.0,413.0
153,544.0,332.0,253.0,244.0
154,174.0,410.0,202.0,381.0
161,611.0,395.0,202.0,309.0
165,178.0,449.0,199.0,344.0
165,581.0,315.0,179.0,290.0
170,635.0,448.0,183.0,86.0
180,135.0,536.0,201.0,119.0
193,589.0,574.0,159.0,97.0
209,117.0,166.0,242.0,396.0
209,522.0,263.0,125.0,158.0
213,336.0,482.0,113.0,131.0
213,725.0,420.0,106.0,193.0
214,685.0,244.0,145.0,352.0
214,350.0,373.0,165.0,321.0
215,204.0,190.0,237.0,483.0
215,601.0,244.0,167.0,511.0
227,471.0,381.0,262.0,237.0
232,264.0,366.0,207.0,195.0
234,186.0,293.0,286.0,403.0
235,124.0,534.0,261.0,169.0
235,671.0,594.0,201.0,206.0
236,565.0,238.0,301.0,467.0
244,251.0,164.0,163.0,208.0
244,573.0,478.0,269.0,293.0
252,689.0,765.0,116.0,137.0
252,422.0,760.0,92.0,123.0
255,208.0,592.0,153.0,121.0
261,677.0,597.0,178.0,215.0
261,325.0,495.0,108.0,226.0
262,179.0,230.0,360.0,597.0
277,605.0,146.0,249.0,440.0
282,246.0,498.0,94.0,61.0
286,711.0,257.0,201.0,358.0
286,254.0,184.0,209.0,329.0
287,188.0,482.0,173.0,181.0
288,131.0,317.0,170.0,249.0
288,584.0,498.0,143.0,246.0
303,260.0,646.0,250.0,165.0
304,194.0,355.0,257.0,478.0
304,652.0,388.0,219.0,563.0
307,678.0,245.0,181.0,463.0
307,360.0,184.0,167.0,413.0
312,561.0,398.0,215.0,245.0
315,634.0,421.0,177.0,74.0
317,500.0,105.0,229.0,264.0
322,640.0,435.0,167.0,380.0
322,174.0,411.0,164.0,284.0
323,131.0,162.0,305.0,558.0
323,519.0,188.0,263.0,541.0
325,294.0,73.0,211.0,275.0
326,194.0,325.0,260.0,532.0
326,571.0,350.0,229.0,519.0
328,591.0,544.0,205.0,159.0
328,334.0,617.0,121.0,184.0
333,136.0,63.0,352.0,725.0
333,605.0,80.0,326.0,705.0
335,573.0,166.0,195.0,191.0
344,227.0,511.0,156.0,152.0
346,240.0,384.0,273.0,319.0
346,615.0,422.0,263.0,372.0
349,574.0,460.0,211.0,158.0
349,212.0,263.0,175.0,260.0
350,602.0,289.0,99.0,146.0
351,251.0,389.0,172.0,196.0
352,188.0,523.0,219.0,207.0
362,425.0,363.0,145.0,391.0
362,754.0,273.0,129.0,306.0
372,621.0,497.0,236.0,201.0
375,533.0,462.0,283.0,327.0
377,598.0,398.0,156.0,178.0
379,155.0,174.0,223.0,575.0
383,294.0,228.0,87.0,144.0
383,180.0,504.0,236.0,205.0
383,637.0,240.0,242.0,547.0
395,228.0,645.0,153.0,117.0
395,615.0,463.0,234.0,269.0
401,705.0,423.0,124.0,123.0
401,693.0,585.0,209.0,156.0
412,532.0,411.0,183.0,199.0
412,307.0,303.0,107.0,181.0
414,566.0,119.0,296.0,626.0
414,156.0,128.0,260.0,595.0
415,124.0,557.0,295.0,230.0
425,701.0,651.0,167.0,210.0
425,594.0,143.0,127.0,149.0
431,506.0,359.0,241.0,457.0
431,171.0,488.0,234.0,346.0
433,146.0,282.0,205.0,401.0
433,506.0,294.0,233.0,458.0
441,681.0,69.0,196.0,440.0
441,217.0,194.0,145.0,236.0
443,203.0,163.0,288.0,654.0
443,565.0,179.0,342.0,574.0
451,148.0,589.0,166.0,172.0
457,204.0,448.0,116.0,63.0
463,168.0,419.0,241.0,282.0
464,244.0,500.0,152.0,275.0
464,555.0,434.0,210.0,170.0
466,305.0,340.0,192.0,393.0
466,688.0,457.0,241.0,309.0
468,111.0,370.0,222.0,256.0
468,475.0,252.0,295.0,366.0
470,579.0,309.0,186.0,290.0
470,272.0,298.0,193.0,416.0
472,193.0,658.0,198.0,125.0
475,57.0,79.0,275.0,523.0
477,138.0,517.0,191.0,163.0
479,239.0,517.0,183.0,147.0
486,554.0,551.0,220.0,246.0
486,153.0,550.0,195.0,195.0
506,137.0,271.0,312.0,673.0
506,626.0,302.0,285.0,668.0
512,196.0,573.0,209.0,184.0
512,629.0,604.0,226.0,197.0
518,181.0,436.0,105.0,90.0
519,576.0,114.0,146.0,270.0
519,344.0,147.0,121.0,339.0
520,259.0,505.0,214.0,155.0
520,657.0,161.0,177.0,314.0
523,180.0,744.0,242.0,87.0
523,710.0,372.0,164.0,322.0
525,175.0,825.0,168.0,109.0
525,535.0,626.0,177.0,240.0
551,486.0,233.0,294.0,473.0
551,87.0,236.0,281.0,487.0
553,607.0,131.0,187.0,297.0
559,585.0,526.0,265.0,262.0
562,295.0,419.0,104.0,96.0
566,216.0,240.0,186.0,187.0
569,616.0,365.0,250.0,487.0
569,337.0,355.0,202.0,498.0
576,177.0,554.0,154.0,168.0
576,545.0,545.0,191.0,212.0
581,227.0,239.0,197.0,234.0
583,752.0,377.0,141.0,303.0
586,259.0,452.0,117.0,164.0
586,646.0,412.0,149.0,333.0
589,259.0,170.0,219.0,362.0
592,122.0,292.0,295.0,474.0
592,475.0,213.0,342.0,481.0
596,273.0,405.0,182.0,315.0
596,548.0,412.0,257.0,343.0
602,630.0,506.0,208.0,167.0
602,326.0,386.0,145.0,196.0
606,305.0,331.0,194.0,307.0
606,659.0,388.0,182.0,332.0
612,293.0,365.0,172.0,346.0
618,242.0,259.0,263.0,507.0
618,540.0,245.0,276.0,554.0
619,621.0,330.0,161.0,266.0
626,653.0,628.0,155.0,107.0
629,321.0,421.0,263.0,366.0
640,560.0,672.0,192.0,77.0
644,44.0,617.0,266.0,241.0
644,528.0,686.0,205.0,277.0
650,136.0,669.0,201.0,153.0
656,587.0,340.0,250.0,335.0
658,583.0,476.0,300.0,221.0
670,189.0,270.0,216.0,377.0
670,532.0,253.0,271.0,390.0
680,199.0,618.0,209.0,217.0
680,563.0,563.0,205.0,218.0
683,158.0,323.0,179.0,369.0
684,216.0,688.0,181.0,118.0
684,589.0,153.0,133.0,185.0
687,256.0,304.0,222.0,527.0
687,630.0,368.0,164.0,469.0
695,599.0,202.0,216.0,537.0
695,314.0,161.0,191.0,432.0
700,607.0,259.0,243.0,440.0
700,287.0,168.0,205.0,492.0
703,138.0,451.0,318.0,330.0
703,530.0,458.0,313.0,403.0
704,172.0,583.0,187.0,198.0
704,580.0,381.0,172.0,226.0
710,680.0,506.0,163.0,146.0
714,140.0,338.0,351.0,668.0
714,583.0,325.0,371.0,691.0
716,196.0,387.0,200.0,187.0
716,584.0,300.0,179.0,176.0
727,283.0,600.0,142.0,218.0
727,687.0,562.0,224.0,229.0
729,595.0,442.0,241.0,286.0
729,258.0,111.0,209.0,192.0
732,534.0,356.0,223.0,279.0
732,216.0,132.0,240.0,424.0
733,289.0,402.0,196.0,195.0
741,194.0,536.0,294.0,408.0
741,622.0,583.0,204.0,412.0
742,586.0,859.0,174.0,105.0
744,557.0,493.0,139.0,161.0
745,608.0,521.0,159.0,206.0
745,271.0,524.0,171.0,165.0
746,261.0,561.0,110.0,120.0
747,568.0,561.0,279.0,216.0
747,164.0,552.0,243.0,194.0
748,617.0,262.0,180.0,349.0
748,183.0,478.0,187.0,152.0
749,181.0,257.0,174.0,379.0
751,376.0,230.0,156.0,293.0
751,631.0,190.0,190.0,358.0
754,445.0,159.0,278.0,536.0
754,32.0,157.0,273.0,681.0
756,179.0,405.0,277.0,257.0
756,626.0,367.0,223.0,276.0
759,176.0,429.0,199.0,261.0
762,603.0,593.0,202.0,307.0
765,335.0,600.0,173.0,265.0
765,714.0,472.0,176.0,237.0
768,696.0,360.0,143.0,250.0
770,309.0,508.0,162.0,106.0
777,200.0,514.0,253.0,316.0
777,654.0,697.0,311.0,234.0
783,277.0,178.0,197.0,370.0
793,211.0,201.0,231.0,446.0
793,631.0,313.0,187.0,476.0
797,230.0,284.0,203.0,327.0
797,596.0,260.0,226.0,295.0
798,412.0,405.0,111.0,239.0
798,676.0,571.0,274.0,193.0
804,158.0,621.0,251.0,246.0
804,603.0,612.0,212.0,305.0
